Screenshot,Center,Holes (0-5),Link 0,Link 1,Link 2,Link 3,Link 4,Link 5,Status,Who?,Notes,,,,,,,,This is a Dupe,Probably an Error
https://media.discordapp.net/attachments/666873697763590144/667194074717093918/ap-A60D7F73-5A31-407F-A00C-A386D2A9D3CA.JPEG,Clover,3,BBBBBBB,BBBBBBB,CPSHHDH,SSTHTPD,HSHCPTH,BBBBBBB,Verified,TDM,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://i.imgur.com/4KyOuEj.jpg,Clover,"2,4",BBBBBBB,BBBBBBB,CTTCTBT,HDCHSHH,SPSTCHD,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/581389917704290315/666983878401065020/1-14-2020_8-33-27_PM-b5nk4h2c.png,Blank,4,BBBBBBB,BBBBBBB,DDCSSDC,SPHTBPH,TBPSPDS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/667629820133507072/667892876356747274/Destiny_2_Screenshot_2020.png,Blank,3,BBBBBBB,BBBBBBB,DDTSCSH,PCDTBHT,BBBBBBB,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://drive.google.com/open?id=1nNnLt7yY3iM5SD86Bw2Xm6Gp0uo6E94o,Blank,"2,4",BBBBBBB,BBBBBBB,DPCDDDP,TCTTSBH,SPDPCDC,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://gyazo.com/040350edf0eac4c5fbfc8b15504334d4,Blank,2,BBBBBBB,BBBBBBB,PCDPBHC,BSPPTHT,CTPSBTT,BBBBBBB,Verified,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
https://gyazo.com/14c9db6b5c1c86405979be7231c5eb52,Blank,3,BBBBBBB,BBBBBBB,PCTBBHD,THDPCTH,DCCCTCH,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://gyazo.com/ed9d79e5611168f78cfbfbe3046b8785,Blank,3,BBBBBBB,BBBBBBB,PDBSDBD,BHSSTBC,SBHHDHT,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
LORE #1,Clover,2,BBBBBBB,BBBBBBB,SBTHPPD,SPPHPPH,SBTSCCB,BBBBBBB,Z Lore,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://imgur.com/a/LtkIT5S,Clover,2,BBBBBBB,BBBBBBB,SBTHPPD,SPPHPPH,SBTSCCB,BBBBBBB,Duplicate,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
https://cdn.discordapp.com/attachments/666873697763590144/667849805879443478/20200115140212_1.jpg,Clover,2,BBBBBBB,BBBBBBB,SBTHPPD,SPPHPPH,SBTSCCB,BBBBBBB,Duplicate,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
https://drive.google.com/open?id=16fHyGmnjrc_2t4N7c2g8DJDveLV2QZZy,Blank,4,BBBBBBB,BBBBBBB,SCHHCPT,PDBCHDD,HPHBPHS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/666872924967403550/667287178224599050/save_1.png,Diamond,"2,3,4",BBBBBBB,BBBBBBB,SSTDCPS,PCTHHDH,HSSSPPS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://gyazo.com/8cb347d4eaffd4dff576a960236ec859,Blank,2,BBBBBBB,BBBBBBB,SSTHDBT,CSDBPSD,CPSSCPC,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/667487076723195914/667835012326096896/52c00f336ccd8643525326b312cbf19b.png,Hexagon,2,BBBBBBB,BBBBBBB,TDCPCPB,HBBDPHS,HDBCHDT,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/667098915253780480/667187010620096512/Screenshot_1131.png,Blank,"2,4",BBBBBBB,BBBBBBB,TTPPBPD,SPPPSHS,HPDSPCT,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/623298025766387769/667553592789434388/20200116181853_1.jpg,Blank,"2,4,5",BBBBBBB,BTBDTCC,TTSTHCC,HCCBCBT,STSDHSP,TDCPCPB,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/file/d/1AT_KMwbwrGk3w6EnhjepuM0ZvZIp0z41/view,Blank,"1,5",BBBBBBB,CBPDHHC,HHBSHCP,SDTCSPD,HHHPBDT,HHBCPPH,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/27d371fcc731726c094eb595a47d3409,Blank,2,BBBBBBB,CPSSCPC,BCHHCHT,SDHBBBB,BSPTBSH,SDTSHCT,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/file/d/1XQX8oKeGH5LONPwhTiR3uIDfbfvfnpGM/view,Blank,2,BBBBBBB,CTPSBTT,SHCDSPT,BPCPHTD,BHTBDHD,CHBSCDT,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/666872924967403550/667518693491605514/1085660_20200116180113_1.png,Clover,"1,2,3,4",BBBBBBB,DBCBDTS,HBTCTHS,HPHTCTH,DSSSDDC,CSHBBSH,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/666873697763590144/667878538493558794/tiger_release_final_20200118_005648.jpg,Blank,4,BBBBBBB,DCCCTCH,PBCBBTD,CBBDDHB,DBTTBDP,DDTSCSH,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LORE #4,Snake,"1,4",BBBBBBB,DHDSPTT,TSCHHST,CCHSCSS,BBBBBBB,BBBBBBB,Z Lore,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/507362423569907715/667174261030649866/unknown.png?width=827&height=466,Blank,"2,5",BBBBBBB,DTHTDBH,TPPHPPD,HCCPBCB,TSHSPSB,HDPBHSB,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/e1f11f1a4d5df6d61fb332285a9d50ed,Blank,"1,5",BBBBBBB,HBSTDHC,PCDTHCB,BBSCDCT,BTDBPCT,SSTDCPS,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/281b88740d9f076c5b1b60e0328445a8,Blank,"2,4,5",BBBBBBB,HDBCHDT,CTTHDHP,BCDTTHP,DBBSSBD,BTBDTCS,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/200bfe7e704c7f16199e0b717d058198,Blank,"1,4",BBBBBBB,HDSTHHT,HSTSTCC,BBPCBBS,PBDSPTB,SHHBPHB,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667777756435841025/667890462966808616/tiger_release_final_20200117_150157.png,Blank,"1,2,4",BBBBBBB,HPDSPCT,TTHPTCD,DHHTPTB,HDPPCTC,CPCHSCH,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/668139227799879731/668161460240908298/20200118124444_1.jpg,Blank,"1,4",BBBBBBB,HSSSPPS,CSSTTPS,HSSBSHP,HBPDPHD,BCHHHPP,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/b64b87b74d8d424c12af2ab34dae09cd,Blank,"1,2,3,5",BBBBBBB,HTCSHBS,PPBHPSS,HSDDBPC,PDCTHHS,BPSCDSC,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/667499790950465537/667537837297631242/3f2cccf225df8943e7727a66e250a517.png,Diamond,"2,4,5",BBBBBBB,HTHDTTS,BCDSPTD,BPHHTCC,DPTHBPT,DPCDDDP,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667777756435841025/667800206527561741/tiger_release_final_20200117_132943.png,Plus,"2,4",BBBBBBB,SBHHDHT,SHDSBSB,TBTCBTP,DPSSHHT,CPSHHDH,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667619517110943745/667628254777049096/Destiny_2_Screenshot_2020.01.16_-_21.45.21.27.png,Blank,"1,2,4",BBBBBBB,SBTBBDH,HBCHTBD,PBCBDBT,DTDSPTH,CHBDBCD,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
LORE #2,Clover,"2,4",BBBBBBB,SBTSCCB,TCHDHSB,PSCDTPH,DHDSPTT,BBBBBBB,Z Lore,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667916970393468928/667920928776126464/Capture55.PNG,Blank,"1,4",BBBBBBB,SPDPCDC,DPDCBPT,PTPHSSP,HDTPSSC,SCHHCPT,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/662143148960776212/667372805628887050/unknown.png,Blank,"1,5",BBBBBBB,TBPSPDS,HBPHTSD,BTBBCBB,PDTBSTC,CHSHTDD,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/open?id=1xUN2aUuwmGb7wtUVYpELqBLKliOPHDQW,Plus,"1,5",BBBBBBB,TDBSCPP,DBHPBPD,BBDTHPH,SDDPSHP,BCSPSCB,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/30841aac8e6bbc2fa2e67ed7abbe26a6,Hexagon,"0,1,3",BBBBBSC,HBSSBST,HCPHPPT,CTSBBCB,BBBBBBB,BBBBBBB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.gyazo.com/thumb/1200/575f5d55b854f893e61986f31e6e44dd-png.jpg,Blank,"0,2",BBBBBTS,SSBSBSP,HHDHPTS,PCCDPDS,DDBDDPH,PTDHPCH,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667916970393468928/667921822813126667/Capture21.PNG,Blank,"3,5",BBBCCSS,HHHTHBD,CBCSBSD,TCHTSTC,PBDSBDS,TPBCDST,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://prnt.sc/qot1ax,Blank,0,BBBCPDT,TDSSHTP,DHSSSHP,TTCCPBC,DPDPBCT,BBTDBSB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.imgur.com/5YZULiZ.jpg,Snake,"0,4",BBBCSDP,PHCCPCP,DSHHCSP,DBSTPDH,SDSHSDS,TSBHSDP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/HZVNmHL,Diamond,5,BBBCTHH,HSBCCBB,BDBTDHS,HSPSPCB,BTDTSSH,HCPCBHP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/dUZneIV,Blank,4,BBBDPBD,HHHBPDP,HTTDHDD,HHCPSPB,SBCTSBT,HTHHPBC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/eba9d1409fa53620502d80222bb00970,Blank,"0,3",BBBHCHS,SDDCBDD,BDTSCSC,CHCPTSS,CDTHPHS,THDHTSP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667288749712998402/667483273940697099/20200116201305_1.jpg,Blank,"2,5",BBBHCPS,BPHTCDS,PSDBPBH,TPDTHBD,TDCPTHD,TSTBHTT,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/666873697763590144/667778722635710467/PS_Messages_20200117_193855.jpg,Blank,"1,2,4",BBBHDTD,DSSDCCD,STHTPBS,TSBDBHS,CBPCTSP,HSPDHTD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/666873697763590144/668074809778896917/share-external.png,Blank,"2,5",BBBHHBB,SSHBPBT,PSHDSBH,CSPDPDS,SDTBCPC,HCBCBPC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/667521448126185512/667597021431070750/Destiny_2_Screenshot_2020.01.16_-_21.09.27.06.png?width=1202&height=677,Blank,4,BBBPCBB,STSBDPH,HPCCPCD,SHTTBTH,PCSBHTP,THBHTHP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/cxC9b9v,Blank,3,BBBPDCH,HDPHCPH,HCHSCTS,PBDSCBB,HCHBBTD,HBBSPSD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/zRXxtzB,Blank,"1,2,5",BBBPHTC,DCCHHTC,BSBSBBB,DBDPPHD,DBDSDCH,BCDHTHS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/d29d03f250615e4363794c12229a6896,Blank,4,BBBPHTC,HPSPTHC,PCSTDPS,SDHDBDB,HHCPTBD,CHDCHDB,Verified,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/d29d03f250615e4363794c12229a6896,Blank,4,BBBPHTC,HPSPTHC,PCSTDPS,SDHDBDB,HHCPTBD,CHDCHDB,Duplicate,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Destiny 2 Screenshot 2020.01.17 - 04.51.04.29.png,Blank,"2, 4",BBBSPBD,TSPBDBD,BTCTHCD,HCHPTHC,CHSPBHH,HSSCBHC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/667499790950465537/667527365852659712/f9327cacd1461bbcfa24017e0e95bb37.png,Blank,0,BBBTCTD,PDSPPSD,PDSPSHH,DHPSTDS,HCSCPBD,BHSDBSP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/666873697763590144/667577735077429248/tiger_release_final_20200116_214831.png,Blank,"1,2,4",BBCBHTC,BTTTPTT,DBCHTDC,DBSCCTH,BDHSBTD,TPHSPTT,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/12c92385763596d6c7158b4014f3b57a,Blank,2,BBCBPSB,PTHCTDP,SPHDSPS,HCPDCSH,BBPPDTP,TSDPHSH,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/666951769779339264/667025016466046976/Q3.jpg,Blank,"0,2",BBCCHHC,SPDPHDT,SDSTTPP,HBCCSPH,DTHSHTS,HHHCCHS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/fd93fdbdbded611817fb1fc4d84fde02,Blank,"2,5",BBCCSPH,PDTBSTC,SPHDPDS,CTSPPDC,CCTPDDB,PPBHPSS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/mHLOAxk,Blank,"1,4",BBCDDCD,HSHBCDB,HCHHPCP,TPPBTBC,HCTDPST,SPPDTTC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/aa0c63827655d42a8f933e91a9ecff63,Blank,"1,5",BBCDHHC,HTBDPHD,BBBBBBB,BBBBBBB,BBBBBBB,SDTPTPD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.imgur.com/Hyq6gDl.jpg,Blank,"4,5",BBCHSPD,TPTTPCC,BBHBPPT,CDSHSSB,SBDHDDT,DHCSTPD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667865590589030401/667878594042658847/tiger_release_final_20200118_002310.png,Blank,"1,3,5",BBCPPPP,TBSSHSD,DTDSDPT,PBHBCDB,STDHHCT,BTHCSPH,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/IPJUV1G,Blank,"0,3,4",BBCPSDS,PCHCBBC,PCPCBCC,CCHDPHD,DSHDBCT,SPHCCPT,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/file/d/13vqv7lBj5yIpdCNpOQENJoBjmoRBbbE2/view?usp=sharing,Blank,5,BBCTCDT,PTCBSHH,CPPSHBB,BBBBBBB,BBDBCCC,SSBCSDS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/668144053665136651/668175139384590336/20200118142833_1.jpg,Blank,"0,3",BBDCSST,BPSTHPS,DDTBPTH,HCHSHBS,CHPHDBB,DBCBTCC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/MACv03o,Blank,"0,3",BBDCSST,BPSTHPS,DDTBPTH,HCHSHBS,CHPHDBB,DBCBTCC,Duplicate,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
https://cdn.discordapp.com/attachments/666873697763590144/667903023464448040/unknown.png,Blank,"2,5",BBDDPDB,PHSDHPD,SPCPBBH,HCDHDDP,BDTBPBC,HDDHPCT,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/ErbEqTc,Blank,"1,2",BBDHDBH,SBCHSHS,BPPBBHP,DDDCCSP,TDHPBPH,BPSSSTS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667916970393468928/667921391357526016/Capture108.PNG,Blank,"2,4",BBDHPCS,STPDCTS,PTHHCSP,CHDSCCT,TBHDSPB,HPCCHCB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/485534433059930114/667252313114673152/image1.jpg,Clover,3,BBDHTBC,PPDHPBD,TSCCCHD,BCHPPCT,BCSBCPB,TBCDTSH,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/4d19dea1cc3f590e79d4132882ad8d2b,Hexagon,2,BBDPBPP,PDDHTTB,SSHPHDP,CHCBPSH,CHPSBSS,SBCBSBB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/667486768941236235/667579690134798336/Destiny_2_Screenshot_2020.01.16_-_20.01.19.09.png?width=1202&height=677,Plus,"0,2,3",BBDPSSS,DSTBSDB,SHTCCTT,TBDTSTH,STTCHPH,BBTBSHB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/666876787795558400/667324533551792135/unknown.png?width=769&height=677,Snake,2,BBDSBTP,TBBHSBS,DSCBBBC,SCDDBPC,SBHPPHP,CPDPPHD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.gyazo.com/thumb/1200/3e451edcbfde33091d4580852f9c698e-png.jpg,Blank,"0,4,5",BBDSHCP,PHHTBDB,CHBSHSC,BPDDBBH,CSHCBDD,SHDDDHS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/666872924967403550/667206334537793547/unknown.png?width=1202&height=677,Blank,"0,2,4,5",BBDSPSD,CHDBBBH,SBDBCTD,TCCPCSD,STSBHHD,THTSDTP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/76d7ce8498d292d7765fe1ff6a70393a,Blank,2,BBDSSPH,PTBSHDD,HSBTBPC,HCPTDHP,BTDHTDS,CCSPBCD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667012436360167447/667030118518227014/Hunter_1.png,Blank,"2,4",BBDSTHD,CDSCCDT,SCDDPPH,SCTCBDH,DDDHCDS,TSHHBHS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/x4fNZst,Blank,"1,5",BBDSTSH,SSHCDTD,CTHSHTS,DDDHTSS,TDTTTHC,TCCSCHS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/b0c45dd1a72f94d07e4793f3a847f840,Blank,2,BBDTDPH,CTTHDBB,BPTHBBP,PSDBDPH,SSPSSHC,TDDDHDP,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.imgur.com/xieMrik.png,Blank,1,BBDTHDS,HHTCCDC,DPPTBHD,CCHCHSD,TPPSDCC,HBHPHST,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/file/d/13RYX9-sdSxHCgPORVY8bSpEdtigsF0zc/view?usp=sharing,Blank,"2,5",BBDTHPH,THSCCTB,DBCBDPT,CSSBTPH,DCDCPCC,HBBSDDB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667849167728541706/667908138737074216/image2.png,Blank,1,BBHCPBC,STHHPTH,DPHTBBH,STHPPTS,HSTPPCD,BHTPSTC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.imgur.com/OzLqniH.jpg,Blank,"2,4",BBHCTTH,TTCTTSS,SDDDSSD,DPCBSSH,TDTCSCH,CBDCTBT,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667487076723195914/667808394907877396/70d506cd52ea267a406f458896013eca.png,Hexagon,3,BBHDPBS,HCTTBTP,TSBBHHD,HBDSPTH,BDPHPDD,PHHSPSD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://gyazo.com/f8d18c441e4c5415513996080f36d5c3,Blank,"2,5",BBHHHDB,TTCCPPP,CHCDBBD,BBBPDCH,PTTPBDS,CCHDTTD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/open?id=1qRJvw8qAv2ZZqhW_FY1TPkXsFnXgTKlA,Clover,"0,2,3",BBHHSPB,TCSCHDC,HDSPDHB,DDHCHDP,SBSPHCB,CPDSSBD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/526842845072719893/667226134655795200/unknown.png,Clover,5,BBHPDCD,SCCCSSB,BBBBBBB,BBBBBBB,BBBBBBB,STDDCSD,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.gyazo.com/thumb/1200/42c38f024687e2806205d4c38e9e0366-png.jpg,Blank,5,BBHPDSH,CCSDTTC,TDTBSST,CSHPDTD,CCTHBBB,BPBCTTH,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Destiny 2 Screenshot 2020.01.17 - 02.48.06.23.png,Blank,5,BBHPSSH,DCHDTTD,PTSBSDC,CHDCHTD,CSHTDTP,DSTTDBC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/open?id=1s_yXdD5nvabuBaIaYwH0xyBwowVkTcKZ,Blank,"0,2,3",BBHSDTD,STBSDST,SCBTBHT,HHDSBCD,DCPCHCS,CCBHHHC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/a/UHwB7QP,Blank,"2,3,5",BBHTHTD,SCTCCCC,HBDBHDS,SHDBHHT,BSPPTHC,BSSCCHS,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://i.gyazo.com/thumb/1200/a0c003e08211db93909ac66d7afc8e49-png.jpg,Blank,1,BBPBCDC,TPHTDBD,CPDSSDH,HTDCPHT,CBCBCTS,HHBTPPC,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
https://media.discordapp.net/attachments/667499790950465537/667508451462610956/51f3887e796406317a6db1eb3453e254.png,Blank,"1,2",BBPCBBS,BDTPCHH,HDDHSBS,PDTSDCP,DPSHBST,PSHHSTB,Verified,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
