Image,Center,Openings,Link1,Link2,Link3,Link4,Link5,Link6,Confidence,Transcription hash,Transcription count,Incorrect Rotation Flag
https://gyazo.com/4417c25bf0127182e8fe00940b2cb050,B,2,PSTPSPS,PSHCPHP,DTPHCCB,CDBPTTT,HTBBDTS,SBBPHCH,71,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/666879732331184148/unknown.png,C,2,DTCBHBT,TDBBSBB,HHDSTSS,SSHHPCT,BBBCTPB,SBCSSCT,71,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/666886955359010866/hex0.PNG,H,3,HBHCBDS,THCSCHS,TTPCDPH,SHBTHSS,DDHPPHC,SCCPDPP,100,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/666879122953338881/unknown.png,P,"1,2,4",BPPPPHH,TSPCCBS,TBCCHBS,STDSSPT,BBHBPBD,PTCPPPH,85,,7,False
https://gyazo.com/44b7db2c85c04773b0cf136114310c08,B,2,SCSBHTD,PBSPTSH,PBDSHTP,SDDSTTC,HSDBCCC,TPCCSPH,83,,6,False
https://cdn.discordapp.com/attachments/667865590589030401/667948445507518474/tiger_release_final_20200118_050911.png,B,6,CPCBBPH,HPSTHPH,SSHHHCB,CHHBTSH,SBTDDCP,DHCTDTB,100,,5,False
https://cdn.discordapp.com/attachments/558092952526913558/666866826877075487/SPOILER_unknown.png,D,"1,2,5",PCHDSBS,SPPHHDB,TPBBPST,SSCPPDP,PCHCCTD,SPHSHHS,83,,6,False
https://gyazo.com/448f672b4f9655d5c7f08ccdd069ce34,B,"2,3,6",PCSHSHB,BSHBSSD,HHTDCDD,TCCHCTS,DBHTPSC,PBBDHTC,100,,5,False
https://cdn.discordapp.com/attachments/667865590589030401/667948457507553290/tiger_release_final_20200118_051542.png,B,"1,2",BTBDPTD,STPPHDT,TSDHDPC,CHPCHPS,TPTTPCC,HHTTBPP,83,,6,False
https://gyazo.com/44e50349c3343f27103b0c0e6a768be6,B,"2,5",BDSPBPC,BPCCSBP,DCDSBBB,BCSDSCB,HDTTDTC,PTTPHTS,100,,7,False
https://cdn.discordapp.com/attachments/667865590589030401/667948492274139146/tiger_release_final_20200118_052522.png,P,"1,3",CBBTDBC,BCBCDBH,CTTSSHP,CDBTPCS,PPCHSTS,DCCPSSS,83,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667957740882231306/1-17-2020_12-03-07_AM-upxponfg.png,B,3,BHPSCDC,HSDPSBS,DSBPSDB,CCHPPDB,DHBBCSH,BBSBTHS,100,,5,False
https://cdn.discordapp.com/attachments/666873697763590144/666873838109196289/Destiny_2_Screenshot_2020.01.14_-_23.52.44.16.png,D,"2,5",STTTHPT,CHBBSTS,SDTBCTB,BDCBCBC,TDSHCTC,SBBTBCT,100,,9,True
https://media.discordapp.net/attachments/666867869510008852/666884552572010506/unknown.png,D,"2,4",CSTTSCC,THSCTCB,SHSHSBD,TSCSHSH,DBTSCHB,BCSTHPB,85,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667800008854339584/unknown.png,B,5,PSPSPBB,PHPTTDH,DTBTPDT,PBBTBDP,HSDBTCD,TBSPCBH,85,,7,False
https://cdn.discordapp.com/attachments/667865590589030401/667963203711533066/tiger_release_final_20200118_053714.png,B,"1,3",BHDHCBH,SCBCPHH,HDCBTTC,DBDSPSD,HHTSPTS,CTPSCDD,100,,6,False
https://cdn.discordapp.com/attachments/666871092014743573/666901024606519306/unknown.png,D,"3,6",HDHTTCS,CTPDDPH,CTSDPPP,CPBHTCP,CHTCHDS,TTSSPDT,100,,8,False
https://cdn.discordapp.com/attachments/667865590589030401/667963209457729555/tiger_release_final_20200118_054441.png,H,"2,5",CDBSPCT,HDDCBPH,CHCDHSS,BTPHBDT,SBCTPBH,TSSCBCD,100,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667959172142465044/tiger_release_final_20200118_060953.png,H,"1,3,6",PDTCBHC,PPTTSDD,HCCTPCD,BHPDHPB,PDTDHHS,PTHBPCC,83,,6,False
https://cdn.discordapp.com/attachments/667865590589030401/667963193951256576/tiger_release_final_20200118_052902.png,B,5,TCBCSHD,TDTPPCP,TDHPBSP,PDSSSBD,DPHPTSP,PPTTTHH,100,,6,False
https://cdn.discordapp.com/attachments/667777756435841025/667788339264356368/tiger_release_final_20200117_094401.png,B,"2,4",BDHBSPH,SBTHPPH,TBDPDDB,TBDBDDD,SPPHPPT,BSHCCTS,75,,9,False
https://cdn.discordapp.com/attachments/667865590589030401/667963215111651338/tiger_release_final_20200118_055734.png,D,"2,3",HCCPSPH,HTDBDPS,PSBBSCH,DHCPDBC,CTBPCDP,DDCPPDC,100,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/666902459977039890/unknown.png,D,"2,6",SPPHPPH,DHPCHPD,STDPSSH,SCHDPHB,TBHCSBH,TCHDHSB,85,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667801936157868042/CoT8.jpg,B,5,STCHBCD,BPSHBHT,BTCSPTB,TTDCHDB,HPCTPHB,HSCCTTD,80,,5,False
https://cdn.discordapp.com/attachments/667865590589030401/667963224976785419/tiger_release_final_20200118_060635.png,B,"2,3,5",DBPBTBC,SPBPDTT,HBSBSPD,HHSBCPP,CDSCTTC,DBSTDPT,83,,6,False
https://cdn.discordapp.com/attachments/667777756435841025/667788481124106250/tiger_release_final_20200117_092845.png,B,"2,5,6",SCPTHSC,DBTSPCB,TPTSTHH,DDSSCCP,BTPTBCC,CDTSPCP,100,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667957665900527652/vault.jpg,B,"3,6",HBDTPPB,PBDSBTT,HHDDTPB,BCTCCHC,HSSSHBH,HCDSSBP,70,,10,True
https://i.imgur.com/VuS0EzH.jpg,H,2,CCTSHBT,DPCPSTC,HPCSSDS,TDTHHCP,DPSTPDC,PCHDSBB,80,,11,True
https://cdn.discordapp.com/attachments/666873697763590144/667958942411915274/unknown.png,B,"1,2,5",HCBSHTB,DCTSTCH,SCTDSHS,SHSCCDP,DCCTPBD,CCHPDDT,80,,6,True
https://cdn.discordapp.com/attachments/666873697763590144/667957477010178048/tiger_release_final_20200118_160404.png,B,"3,5",BPSPHBB,CTSTHBS,BTBTSSH,HSPCHDP,PTBCSHD,DTDCPBP,77,,11,True
https://cdn.discordapp.com/attachments/667865590589030401/667948494929002526/tiger_release_final_20200118_052706.png,H,"3,5",BPDSHHP,BBSCHBD,CHBTBPP,PBBCDDP,SSDBCSB,DSDSDSC,100,,5,False
https://cdn.discordapp.com/attachments/666873697763590144/667957761203503134/20200118000341_1.jpg,B,4,BDCSPST,BPSTTBP,TPCSPTB,DSTHCPH,THDPHHH,CDDPTTP,87,,8,False
https://cdn.discordapp.com/attachments/667777756435841025/667788473239076864/tiger_release_final_20200117_093628.png,C,"1,2,3",CCPCBDP,PDCDTDD,HSSPPBH,BBBPCBB,BTTTBSH,SBHPCHD,85,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667801794100854784/telechargement.jpg,B,6,TDPSPHP,PTCDPPH,PBCPCTP,BBSSCDP,DPDPCDB,HHHHDST,88,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667959406876688394/Destiny_2_1_17_2020_8_51_22_PM.png,C,5,PSCDTPH,TBHCSBH,DTDTTSC,HCHSTDH,BPSSHBC,TSCHHST,100,,10,True
https://cdn.discordapp.com/attachments/667777756435841025/667788372244168725/tiger_release_final_20200117_095937.png,B,"1,4,6",TPPTPBC,TDHTDPC,TDDDHDP,PBDHPHT,PPPBPDB,HTTCCST,85,,7,False
https://cdn.discordapp.com/attachments/667777756435841025/667788477051437076/tiger_release_final_20200117_092844.png,B,"2,5,6",SCPTHSC,DBTSPCB,TPTSTHH,DDSSCCP,BTPTBCC,CDTSPCP,85,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667959980988563476/PS_Messages_20200118_021346.jpg,D,"2,6",BHDSHPH,BHBCPPB,BTPDTDC,BSDTBPT,CHPTHDC,TCPSCSB,83,,6,False
https://cdn.discordapp.com/attachments/667777756435841025/667788490318020608/tiger_release_final_20200117_093034.png,B,"1,2",TTTTSDD,SBBPDBD,CBTCTPS,SCCSTBT,PHDSTHB,HBDSDCD,83,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667802000842293248/2020-01-17_1.png,D,"2,4,5",CCHSCSS,BPSSHBC,TSTPDHH,PDDSCCH,BBBBBBB,BBBBBBB,75,,8,True
https://cdn.discordapp.com/attachments/666873697763590144/667961537230667776/tiger_release_final_20200117_230156.png,H,"1,3",PBTBPPS,DTBTBPH,SBCPDSP,BDHDBDS,HDBTHDH,BBHDCTB,75,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667963788770672640/1085660_screenshots_20200117231505_1.jpg,D,"3,5,6",STHPPTS,TDCTSPS,TDBDTBT,SBPHTST,PBHHBDP,PBDSCTB,100,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667962431372394496/image0.jpg,B,"3,6",CCPDCTS,BSPSTBB,SSDPDBS,DBSSHTB,DTDCDPC,HSSCDDP,80,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667961526304374804/Destiny_2_Screenshot_2020.01.18_-_00.13.58.24.png,P,6,THHTSHD,CDCSDBH,BHHSPBD,HSHPHPC,TDPHDTH,TSCBHTH,100,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667962318625177630/17-2300T.png,B,"2,5,6",TCDCSBS,BBCHHSS,BPSSDCD,CSTTCBT,BBPCBCS,CDHDBBD,87,,8,False
https://cdn.discordapp.com/attachments/667777756435841025/667788492452921364/tiger_release_final_20200117_093119.png,B,2,PSSTBTS,DTCDDDS,SBTPDBS,CBPBTDD,HHPPDDC,DBCHDPC,85,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667800769352826926/d80e7369-2627-41de-b7f3-9341f812c303.png,B,"2,5,6",PCSSTPT,STTCHPC,SHPTCSB,PHPSTBT,TDDHPDP,CBDSSDH,71,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667962813322625084/image0.jpg,B,1,TSBBTSD,PCTPCCB,CPDBSCS,BHBSTCH,HCDPDBH,SSDHSPP,100,,10,True
https://cdn.discordapp.com/attachments/666873697763590144/667962814799020052/image3.jpg,B,"5,6",BBPPDPB,BBPSSHD,SBCTSST,SCSBSPB,DTTBPST,SCHHDTS,85,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667802052965171200/tiger_release_final_20200117_114546.png,B,"1,6",DCCBBCT,BBSPTPB,SCCCPTC,CDDHCBC,TSSPBPP,TCHDBHD,83,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667962813716627485/image1.jpg,B,3,HTHBBPP,SDSSCST,HBDCTPP,SPSTSSS,PHBBSDP,PPPBPDT,88,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667962002542428216/tiger_release_final_20200117_222103.png,B,"2,6",CPDHPCS,TSSSBCT,DTTSBCH,SCSTHSS,CDSPHSH,DSHDHHH,80,,5,False
https://cdn.discordapp.com/attachments/666873697763590144/667964135086096384/unknown.png,D,"2,4,5",CCHSCSS,BPSSHBC,TSTPDHH,PDDSCCH,BBBBBBB,BBBBBBB,75,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667964694820290570/image3.jpg,B,2,BSBCPTB,SHBHBCT,PPHTHTT,TPPBSHP,DTTPCDP,THCSPCD,70,,11,False
https://cdn.discordapp.com/attachments/666873697763590144/667800994725494843/12.jpg,B,"2,3,5",DPCBHBS,DSSHCBT,TTCBTCB,CSDPCBH,CSSSBDD,SBBDCTD,77,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667964695419944970/image5.jpg,H,"1,5",PBTTHST,PBDSBDS,DHSTCCS,HBSHTSH,DCCBPSS,HHDSPSC,77,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667802408445018132/2020-01-17_4.png,C,"1,2,3",PDDSCCH,TCHPBBP,PTHBHBB,BBBBBBB,BBBBBBB,BBBBBBB,87,,8,True
https://cdn.discordapp.com/attachments/666873697763590144/667802149953994772/NineRaccoons_Destiny2_20200117_03-03-31.png,B,"3,6",TPDBCTC,PDDBPDD,CPPPPHS,BCHHPSP,SCDTHDP,HHBSTHC,81,,11,True
https://cdn.discordapp.com/attachments/666873697763590144/667802675760594974/2020-01-17_5.png,C,1,TBSHCPH,BTPPCPH,BBBBBBB,BBBBBBB,PPCTSPT,SSPCHCD,100,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667802930203590656/20200117_194900.jpg,S,4,STPCSST,CCHDPTT,BPBDDDP,DHCDPSH,SPBDPHB,CCCPPPH,88,,10,True
https://cdn.discordapp.com/attachments/666873697763590144/667803229341351976/2020-01-17_9.png,P,3,HDPBSDS,SSTCTDS,TCSTSHH,CHDBPCH,DHHPTHT,STDPSSH,87,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667803909062131741/CoT10.jpg,S,"1,5",BBBCSDP,PHCCPCP,DSHHCSP,DBSTPDH,SDSHSDS,TSBHSDP,83,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667802960457105418/2020-01-17_7.png,H,"2,3,4,6",CHDBPCH,TCTCBDC,TPDDTPS,TBSHCPH,SSPTTTH,BCTSPBB,85,,14,True
https://cdn.discordapp.com/attachments/666873697763590144/667804470746284032/hunterFang.PNG,B,6,DHSTCHP,PPBDPCT,BDCPDDT,HBBSCHS,BHBHCPP,DTHTPSH,83,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667804297643163696/8AJGlq1XN0OhUAAAAASUVORK5CYII.png,B,4,SBSCPBC,BSDTHSP,DBBBCDT,BDSDHSH,BDDCSHH,BSDCPTH,100,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667802812079669249/2020-01-17_6.png,P,"3,5",SCHDPHB,DHHPTHT,BCTSPBB,DBSPTSD,BHPBDBT,DTDTTSC,75,,12,True
https://cdn.discordapp.com/attachments/666873697763590144/667803903886098453/2020-01-17_14.png,H,5,DBSPTSD,SSPTTTH,SSPCHCD,HTDBBDD,DSDDHBT,DDDHCDS,80,,10,True
https://cdn.discordapp.com/attachments/666873697763590144/667804182052339730/2020-01-17_16.png,H,"1,5,6",BPTDSBB,BBBBBBB,BBBBBBB,CPHCHDS,TCTCBDC,TCSTSHH,83,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667803361495482378/2020-01-17_10.png,S,"2,5",HCHSTDH,BHPBDBT,DDDHCDS,STDSHPT,TCHPBBP,TSTPDHH,70,,10,True
https://cdn.discordapp.com/attachments/666873697763590144/667804048770072666/2020-01-17_15.png,D,"2,6",SPPHPPH,DHPCHPD,STDPSSH,SCHDPHB,TBHCSBH,TCHDHSB,83,,12,True
https://cdn.discordapp.com/attachments/666873697763590144/667804644868751360/cas_3.PNG,C,"2,3,4,5",BBBBBBB,DBCBDTS,HBTCTHS,HPHTCTH,DSSSDDC,CSHBBSH,83,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667804616779497482/2020-01-17_19.png,B,"3,6",BCSBPPB,DPHHTST,PHSBPSS,TPBPHPB,SPBSHBD,TCDSDHP,87,,8,True
https://cdn.discordapp.com/attachments/666873697763590144/667804694923706391/unknown.png,B,"2,3,6",TDPDTSP,HTDTBCT,HCCTBBC,PDSPDPD,DHSPHPB,PBTTBCB,80,,10,False
https://cdn.discordapp.com/attachments/666873697763590144/667804296183676954/20200117125046_1.jpg,B,"4,6",TDHCSHC,HSCCDBC,STHHTPH,TBCHTSP,CPBHHSH,PCDTSDS,85,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667804750678458378/2020-01-17.png,C,5,PSCDTPH,TBHCSBH,DTDTTSC,HCHSTDH,BPSSHBC,TSCHHST,77,,11,False
https://cdn.discordapp.com/attachments/666873697763590144/667804777559883806/cas_warlock.PNG,B,"1,3,4",DSTHHHP,THTCBTT,SPDCTBH,DBTTSHD,TTTHBPD,HTBBTCS,77,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667805745261182996/fX5ktL4.png,C,"1,5,6",BPDCTHB,TPTCBPC,DTPDHCT,CBPTSBP,CBDSTCH,PBCDTCS,87,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667804480644841492/2020-01-17_18.png,S,"2,5",BBBBBBB,DHDSPTT,TSCHHST,CCHSCSS,BBBBBBB,BBBBBBB,72,,11,True
https://cdn.discordapp.com/attachments/666873697763590144/667806377187737610/5ef119ee-1917-4f37-9778-5a30f991e755.png,B,"3,5,6",SBHDDPD,PSSSHSB,THPBTCD,DSDSBPS,TCHCPSC,SPBHHSP,70,,10,False
https://cdn.discordapp.com/attachments/666873697763590144/667805217055834131/hunter_cas.PNG,B,5,SHDSTSD,HTDBPTC,HBSTTTH,HSBPSPH,PHBTDST,PBHPDPD,87,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667808164866949140/tiger_release_final_20200117_200813.png,B,5,HTHBSHC,PTTHPHH,SSDTCST,TCPDSCB,HCSTBCD,HDSBSTS,100,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667804922494058527/fang_3.PNG,S,5,PSBBPTP,BBBBHTB,SPHSHHS,BPBTHTH,CCPHPSD,CCTSBDP,87,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667808070105301014/unknown.png,B,"2,4",DPTDSDT,CHSDDDD,HPPHSSP,BHDPBCD,DCPDTHS,TBCDDCD,87,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667807191020863508/image.png,C,"4,6",BPBSBTP,HBHTDPD,CPCSBHB,HPBSTTC,PCSHSSD,CTDDBCD,70,,10,True
https://cdn.discordapp.com/attachments/666873697763590144/667806579009126410/1bb5067dd60e6f0487789ba6143111fe.png,B,"2,6",TCCTBBS,PTCSBDH,TSPPDDH,CHTBDTT,SHBSTPD,HTDBDPD,83,,13,True
https://cdn.discordapp.com/attachments/666873697763590144/667809130068836382/unknown.png,P,"2,5,6",PTSHDDS,TSSDTHD,BPHSDBH,PBCTDHD,TSTTBBT,SPCCCSD,87,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667808196848648213/25a2b4a9437a766a7f6d2b5aaacf0161.png,D,"2,5",SBCBHDS,SHCCHBT,BCCCSBC,DPHDCHD,TSBBTSD,STTBSDS,88,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667806545224138752/unknown.png,B,"3,5",PPTPPBT,DCHTSPT,SSBCSST,HCPBSTD,CDDSHPH,SHCCSSC,100,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667809045171798017/share-external.png,B,"2,3,4,6",HCBTTPT,PPPSBSC,CPHSDPP,TPTCTBP,CPDDSTC,DBCHTDC,80,,11,True
https://cdn.discordapp.com/attachments/666873697763590144/667807628109545472/2020.01.17-21.05_02.png,B,"3,6",DCTHBPH,TSCBCHS,DTBDBTC,TCSPCDH,CSSBDCS,CCHTSDP,92,,13,False
https://cdn.discordapp.com/attachments/666873697763590144/667810118716620810/PS_Messages_20200117_190526.jpg,B,"3,6",DCBHDHS,DTPPHHD,DTPSHSC,BPHPBDH,DSSSCDD,BPTDBSS,85,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667809429076574268/Z.png,B,"2,6",BBCDHHC,HTBDPHD,BBBBBBB,BBBBBBB,BBBBBBB,SDTPTPD,100,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/667809855557468182/code5.png,B,"5,6",HBSBCSC,SBDPTPC,CTTTDPS,DDTPPSC,THTCTCP,BSCDDPC,77,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667810867605274634/share-external.png,P,5,DPSSTSD,HSBCDTS,TDSDHDH,DDCDHPB,PDSTBHH,SDPTDPC,77,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667810324300169238/share-external.png,B,"1,5,6",TDDHTBT,HHTPPHP,DHPDHTH,DBDSPTH,SBSSDDS,SDSCBHB,75,,13,True
https://cdn.discordapp.com/attachments/666873697763590144/667811079748976660/PS_Messages_20200117_182920.jpg,S,6,HDPSDPS,BDCDDTT,HCSCHCP,PSDPSBS,SPDBTDH,TBTCTPB,87,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667810550784458762/20200117131746_1.jpg,B,6,HBCHHTT,TTSPTHS,HTBBPSP,BBBPHTC,PSHBBTB,TSSTHHP,71,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667812382835343361/unknown.png,B,"3,5,6",DDCSSTD,PPPDCTS,SDDDPCS,PDDHDDP,HBBPSTS,SBCBBCD,88,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667810655046336541/unknown.png,C,1,TBSHCPH,BTPPCPH,BBBBBBB,BBBBBBB,PPCTSPT,SSPCHCD,75,,12,True
https://cdn.discordapp.com/attachments/666873697763590144/667812060070936597/unknown.png,B,"2,5",DTBDBPD,CPBHCPD,BBDTHCS,TTTPSSC,HDSBSTP,SPHCPTB,100,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667809658148356126/image1.jpg,B,"3,6",PDDTHDT,SSBPSPD,HPCSBHT,TSSBSSH,HBHBPDH,CCTTCPS,72,,11,False
https://cdn.discordapp.com/attachments/666873697763590144/667813635501850655/image0.jpg,B,4,HPDSHTP,SCCDSSB,CCCHPCB,PCPSCPS,DCBDBPH,HSBTBDD,100,,7,True
https://cdn.discordapp.com/attachments/666873697763590144/667813607454670890/PS_Messages_20200117_123232.jpg,B,"1,4",PBPCBCB,DDDTDPT,HCSHCTD,HDPPCHH,CHPDTPH,CHSTDCD,87,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667814057138716672/save.png,H,"2,6",CDCDTPC,CTPPTSP,TBBSBBH,STDHDPC,DPCHPCC,BTHTTPH,75,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667815094629171240/Hunter_Even_Hour.png,B,"3,5,6",BDCHHPH,DPPHTTH,HCTCDCT,DTSCSDH,HSDHHSS,TDTHCDD,77,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667812809803038741/Destiny_2.png,B,"3,6",TTTDBCH,PBCSPCH,BCCBCHH,CSBSCDC,DDBSHCP,HDBBBBC,88,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667814792207269907/14.jpg,B,"5,6",SCCHDHS,DTSSBCH,CPHTTDT,HTHCTTC,CBCSTTC,STTBCHP,78,,14,True
https://cdn.discordapp.com/attachments/666873697763590144/667815047577206791/Destiny_2_Screenshot_2020.01.17_-_18.52.20.51.png,B,"3,6",PTBSPSS,BDDHHCD,PDHHPCB,SBCDPSD,CTBBTCP,HPSSPHS,77,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667812835992010782/image0.jpg,B,"2,4,5",SCPDDPB,STBSCSS,SSDBTCC,CHBCSSS,CHPCCBC,SSSDSPC,88,,9,True
https://cdn.discordapp.com/attachments/666873697763590144/667814655808503849/image0.jpg,B,5,DHHPBBT,HHHPHBS,PPPSPDP,CSSCCHB,PHCTTDT,SSPBHBS,81,,12,True
https://cdn.discordapp.com/attachments/666873697763590144/667813500894314556/13.jpg,P,"3,4,6",BDHBSPB,TBBSSHH,CCCPBTH,HDTTSTS,BCPHBTD,PTCPPHT,87,,16,True
https://cdn.discordapp.com/attachments/666873697763590144/667815381423095821/Warlock_Even_Hour.png,S,"1,2,3,4",CCCDCHH,DPDSCSC,THPPSCC,PCTSCTP,BBBTDPC,SBSCBCC,77,,9,False
https://cdn.discordapp.com/attachments/666873697763590144/667814656139591680/image1.jpg,B,"2,4",CCHCHSD,BDDHTPD,CSSTTHC,TSDTTBD,PDTBHTP,CHHDTCP,100,,11,True
https://cdn.discordapp.com/attachments/666873697763590144/667815249482743837/Titan_Even_Hour.png,B,"2,6",SDHPPSS,HDSBSBD,HCPHTSH,BDDCPTD,PHDTBST,PCTDCPS,84,,13,True
https://cdn.discordapp.com/attachments/666873697763590144/667815835242594304/unknown.png,H,"1,4",TDTTDDD,PBDPTDT,SPCTSCD,CPBCDDH,CHHHTBC,BCHTBBC,71,,7,False
https://cdn.discordapp.com/attachments/666873697763590144/667816079610871829/image0.jpg,D,"1,2,5",CPCCHCP,SCTTCBP,PSHDBBH,BBDSTSH,HHCPSDH,PBCCTPC,75,,8,False
https://cdn.discordapp.com/attachments/666873697763590144/667815504039378945/15.jpg,B,"3,5",STTTBSS,TTDHDPC,BBSCDBT,DPTCDDC,BCDCHDT,DSHBCDT,83,,12,True
